Tree Depth,Training Accuracy,Testing Accuracy,Accuracy Gap
1,0.7291666666666666,0.6805555555555556,0.04861111111111105
2,0.7361111111111112,0.6805555555555556,0.05555555555555558
3,0.7430555555555556,0.6944444444444444,0.04861111111111116
4,0.8090277777777778,0.5833333333333334,0.22569444444444442
5,0.8159722222222222,0.6388888888888888,0.17708333333333337
6,0.8298611111111112,0.6666666666666666,0.16319444444444453
7,0.8368055555555556,0.625,0.21180555555555558
8,0.8333333333333334,0.6944444444444444,0.13888888888888895
9,0.8333333333333334,0.6944444444444444,0.13888888888888895
10,0.8333333333333334,0.6944444444444444,0.13888888888888895
