appointment_id,student_age,age_group,gender,region,student_level,program_area,appointment_type,booking_lead_days,previous_advising_visits,missed_appointments_last_year,credits_completed,current_gpa,email_reminder_sent,appointment_mode,advisor_rating_previous,appointment_completed
UA0001,45,36-50,Male,North,First Year,Health,Course Planning,35,9,0,82,3.64,Yes,Online,2,1
UA0002,27,26-35,Female,East,First Year,Science,Career,4,6,0,89,2.94,Yes,In Person,3,1
UA0003,33,26-35,Male,West,Second Year,Business,Graduation Check,17,9,1,75,2.02,Yes,In Person,4,1
UA0004,41,36-50,Male,East,Third Year,Arts,Career,46,3,0,43,2.23,Yes,In Person,3,1
UA0005,40,36-50,Female,North,Second Year,Engineering,Course Planning,10,8,0,39,3.33,No,In Person,5,1
UA0006,19,18-25,Female,South,Third Year,Business,Academic Risk,39,2,0,105,1.52,Yes,Online,3,0
UA0007,23,18-25,Female,West,Second Year,Science,Course Planning,27,11,0,110,3.34,Yes,In Person,1,1
UA0008,36,36-50,Female,South,Second Year,Arts,Academic Risk,29,12,0,56,2.5,Yes,In Person,1,1
UA0009,35,26-35,Female,East,Fourth Year,Arts,Graduation Check,57,1,0,65,2.43,Yes,Phone,3,0
UA0010,42,36-50,Male,West,Third Year,Arts,Academic Risk,3,10,0,53,3.62,Yes,Online,5,1
UA0011,42,36-50,Male,East,Fourth Year,Business,Academic Risk,51,9,0,11,3.82,Yes,Phone,3,1
UA0012,24,18-25,Female,West,Fourth Year,Health,Graduation Check,57,0,0,62,3.24,Yes,Phone,3,1
UA0013,42,36-50,Male,East,Fourth Year,Engineering,Graduation Check,43,4,2,31,3.48,Yes,In Person,2,0
UA0014,24,18-25,Female,South,Second Year,Health,Course Planning,50,2,0,46,2.32,Yes,In Person,2,1
UA0015,39,36-50,Male,North,Second Year,Arts,Graduation Check,40,0,0,119,3.82,Yes,Phone,1,1
UA0016,43,36-50,Female,East,Third Year,Business,Career,31,12,0,41,1.93,No,Online,4,1
UA0017,27,26-35,Male,East,Fourth Year,Arts,Course Planning,17,3,0,91,3.73,Yes,Phone,4,1
UA0018,44,36-50,Female,West,Third Year,Engineering,Course Planning,46,0,1,105,1.85,Yes,Online,4,0
UA0019,19,18-25,Female,East,First Year,Arts,Career,25,8,2,74,3.2,Yes,Online,5,1
UA0020,45,36-50,Male,South,Fourth Year,Arts,Graduation Check,54,3,0,113,2.0,Yes,Online,1,1
UA0021,21,18-25,Male,West,Second Year,Business,Academic Risk,29,1,0,103,3.1,No,In Person,2,0
UA0022,18,18-25,Male,East,Second Year,Health,Graduation Check,27,9,0,78,3.71,Yes,Phone,5,1
UA0023,37,36-50,Male,East,Third Year,Business,Academic Risk,14,9,0,86,3.51,Yes,Phone,2,1
UA0024,40,36-50,Female,East,Second Year,Business,Course Planning,49,9,0,59,1.59,Yes,Online,1,0
UA0025,31,26-35,Male,North,Fourth Year,Engineering,Graduation Check,35,12,0,96,2.17,Yes,Online,2,1
UA0026,45,36-50,Female,South,Second Year,Arts,Course Planning,22,2,1,108,3.65,Yes,In Person,4,1
UA0027,24,18-25,Female,West,Third Year,Science,Graduation Check,10,12,0,63,3.43,Yes,Phone,1,1
UA0028,20,18-25,Male,North,Third Year,Engineering,Graduation Check,25,8,0,67,2.51,Yes,Online,5,1
UA0029,29,26-35,Female,North,First Year,Health,Graduation Check,8,7,2,92,3.95,Yes,Phone,3,1
UA0030,20,18-25,Female,East,Second Year,Arts,Course Planning,33,2,2,111,3.57,No,Phone,5,1
UA0031,31,26-35,Male,West,Fourth Year,Engineering,Graduation Check,32,4,1,87,2.06,No,In Person,2,0
UA0032,28,26-35,Male,South,Third Year,Arts,Academic Risk,20,5,0,68,2.93,Yes,Phone,5,1
UA0033,41,36-50,Female,West,Second Year,Arts,Academic Risk,45,12,0,15,3.95,Yes,In Person,2,1
UA0034,28,26-35,Male,West,First Year,Health,Academic Risk,23,9,1,108,1.68,Yes,Phone,2,0
UA0035,32,26-35,Female,South,First Year,Science,Academic Risk,13,1,4,35,2.17,Yes,Online,1,0
UA0036,19,18-25,Male,West,Third Year,Health,Academic Risk,27,5,1,38,3.52,Yes,In Person,3,0
UA0037,36,36-50,Female,West,Third Year,Engineering,Career,42,0,0,64,2.7,Yes,Phone,1,0
UA0038,43,36-50,Male,North,Second Year,Health,Graduation Check,51,11,4,120,1.63,Yes,In Person,5,0
UA0039,30,26-35,Male,West,Graduate,Arts,Career,55,7,1,48,3.51,Yes,In Person,4,1
UA0040,29,26-35,Male,East,First Year,Business,Academic Risk,4,9,4,37,2.66,No,Online,5,0
UA0041,26,26-35,Female,North,First Year,Health,Career,4,1,2,60,3.34,Yes,In Person,2,0
UA0042,27,26-35,Female,West,Third Year,Engineering,Academic Risk,49,4,0,117,3.15,Yes,Phone,1,0
UA0043,31,26-35,Female,North,Third Year,Science,Graduation Check,24,9,2,47,2.18,Yes,In Person,3,1
UA0044,30,26-35,Female,North,Graduate,Engineering,Course Planning,36,4,0,52,3.08,Yes,Phone,3,1
UA0045,25,18-25,Male,North,First Year,Engineering,Course Planning,32,6,0,117,1.7,No,Online,2,0
UA0046,19,18-25,Female,North,First Year,Engineering,Course Planning,43,12,0,24,2.33,Yes,Online,3,1
UA0047,25,18-25,Female,North,Second Year,Health,Graduation Check,33,7,0,74,1.83,Yes,Online,4,1
UA0048,35,26-35,Male,West,Graduate,Science,Graduation Check,2,4,0,30,3.75,Yes,In Person,2,1
UA0049,30,26-35,Female,North,Third Year,Arts,Career,25,9,1,80,3.81,Yes,In Person,3,1
UA0050,19,18-25,Female,North,Fourth Year,Arts,Course Planning,19,8,0,67,1.8,Yes,In Person,5,1
UA0051,42,36-50,Male,North,Second Year,Engineering,Course Planning,24,7,1,97,1.87,Yes,Phone,1,0
UA0052,43,36-50,Male,South,First Year,Engineering,Academic Risk,21,12,1,11,3.4,No,In Person,4,1
UA0053,24,18-25,Male,West,First Year,Health,Career,12,10,0,28,4.0,Yes,Online,2,1
UA0054,18,18-25,Male,South,Third Year,Arts,Career,36,4,1,76,3.01,Yes,Phone,4,0
UA0055,44,36-50,Female,South,First Year,Arts,Career,24,10,2,43,1.55,Yes,Phone,1,1
UA0056,38,36-50,Male,East,Second Year,Science,Course Planning,2,7,2,18,3.15,Yes,In Person,3,0
UA0057,24,18-25,Male,East,Fourth Year,Business,Graduation Check,49,11,0,64,3.02,Yes,Online,1,1
UA0058,30,26-35,Male,South,Graduate,Business,Career,32,10,0,93,2.88,Yes,Phone,3,1
UA0059,25,18-25,Male,North,First Year,Engineering,Course Planning,1,5,2,79,3.38,Yes,In Person,3,1
UA0060,38,36-50,Male,East,Second Year,Arts,Course Planning,59,11,0,8,3.06,Yes,Phone,4,1
UA0061,22,18-25,Male,North,Third Year,Health,Graduation Check,44,11,0,66,2.78,Yes,Online,3,1
UA0062,28,26-35,Female,South,Second Year,Arts,Course Planning,34,6,0,100,3.42,Yes,Phone,4,1
UA0063,35,26-35,Male,South,Fourth Year,Science,Course Planning,26,10,0,62,2.4,No,Phone,2,1
UA0064,39,36-50,Female,North,Third Year,Engineering,Graduation Check,27,9,0,66,2.49,Yes,Online,5,1
UA0065,29,26-35,Male,West,Second Year,Engineering,Academic Risk,41,9,0,5,2.08,Yes,Online,1,0
UA0066,33,26-35,Female,South,Graduate,Arts,Career,35,4,1,17,,Yes,Online,1,0
UA0067,30,26-35,Female,South,Fourth Year,Business,Career,55,10,3,104,2.63,Yes,In Person,4,0
UA0068,22,18-25,Female,East,Third Year,Engineering,Course Planning,22,11,1,85,1.97,Yes,Online,1,1
UA0069,24,18-25,Female,East,Second Year,Health,Academic Risk,56,6,0,15,3.73,Yes,Online,3,1
UA0070,20,18-25,Male,West,Third Year,Health,Graduation Check,56,12,0,100,1.64,Yes,Phone,2,1
UA0071,24,18-25,Female,North,First Year,Business,Graduation Check,5,7,1,35,1.99,Yes,In Person,2,0
UA0072,43,36-50,Female,West,Fourth Year,Science,Course Planning,24,0,1,73,2.7,Yes,In Person,2,0
