Original_Text,Cleaned_Text,Actual_Category,Predicted_Category,Correct_Prediction,Predicted_Probability
The app did not notify me when the back door opened.,app notifi back door open,Security_Alert,Security_Alert,Correct,0.5883
I want to rename the camera so Siri can recognize it.,want renam camera siri recogn,Voice_Assistant,Voice_Assistant,Correct,0.509
"The door sensor sent a motion alert at 2 AM, but no one was there.",door sensor sent motion alert one,Security_Alert,Security_Alert,Correct,0.5591
"My smart light stopped working after two weeks, and I need a warranty replacement.",smart light stop work two week need warranti replac,Warranty_Return,Warranty_Return,Correct,0.5416
"The setup guide was clear, and I installed the camera in Oshawa in 20 minutes.",setup guid clear instal camera oshawa minut,Installation,Installation,Correct,0.4753
Bluetooth pairing fails after the latest firmware update.,bluetooth pair fail latest firmwar updat,Connectivity,Connectivity,Correct,0.6029
The thermostat report helped me lower energy use during the week.,thermostat report help lower energi use week,Energy_Saving,Energy_Saving,Correct,0.5379
THE SECURITY CAMERA DISCONNECTS FROM WI-FI EVERY NIGHT AFTER 11 PM. #HOMEIQ,secur camera disconnect wi fi everi night pm homeiq,Connectivity,Connectivity,Correct,0.4909
I cannot install the HomeIQ thermostat because the app does not recognize the QR code. #HomeIQ,cannot instal homeiq thermostat app recogn qr code homeiq,Installation,Installation,Correct,0.565
HomeIQ security alerts are delayed by almost 15 minutes.,homeiq secur alert delay almost minut,Security_Alert,Security_Alert,Correct,0.63
Can I return the camera if it does not work with my Wi-Fi?,return camera work wi fi,Warranty_Return,Warranty_Return,Correct,0.5119
Can I return the camera if it does not work with my Wi-Fi?,return camera work wi fi,Warranty_Return,Warranty_Return,Correct,0.5119
The schedule feature works well and reduced heating at night. #HomeIQ,schedul featur work well reduc heat night homeiq,Energy_Saving,Energy_Saving,Correct,0.5199
The schedule feature works well and reduced heating at night.,schedul featur work well reduc heat night,Energy_Saving,Energy_Saving,Correct,0.523
Google Assistant cannot find my HomeIQ thermostat anymore.,googl assist cannot find homeiq thermostat anymor,Voice_Assistant,Voice_Assistant,Correct,0.5565
"The door sensor sent a motion alert at 2 AM, but no one was there.",door sensor sent motion alert one,Security_Alert,Security_Alert,Correct,0.5591
I want to rename the camera so Siri can recognize it.,want renam camera siri recogn,Voice_Assistant,Voice_Assistant,Correct,0.509
The wall plate does not fit my old thermostat wires. #HomeIQ,wall plate fit old thermostat wire homeiq,Installation,Installation,Correct,0.5851
The security camera disconnects from Wi-Fi every night after 11 PM.,secur camera disconnect wi fi everi night pm,Connectivity,Connectivity,Correct,0.4965
The thermostat report helped me lower energy use during the week.,thermostat report help lower energi use week,Energy_Saving,Energy_Saving,Correct,0.5379
"The setup guide was clear, and I installed the camera in Oshawa in 20 minutes.",setup guid clear instal camera oshawa minut,Installation,Installation,Correct,0.4753
"My smart light stopped working after two weeks, and I need a warranty replacement. #HomeIQ",smart light stop work two week need warranti replac homeiq,Warranty_Return,Warranty_Return,Correct,0.54
My smart speaker cannot find the HomeIQ hub even though both are online.,smart speaker cannot find homeiq hub even though onlin,Connectivity,Connectivity,Correct,0.5612
"Voice commands worked yesterday, but today the speaker says device unavailable. #HomeIQ",voic command work yesterday today speaker say devic unavail homeiq,Voice_Assistant,Voice_Assistant,Correct,0.5821
