SupportID,Token,POS_Tag,Simplified_POS,SupportCategory
SMT-005,The,DT,Other,Connectivity
SMT-005,light,JJ,Adjective,Connectivity
SMT-005,works,NNS,Noun,Connectivity
SMT-005,near,IN,Other,Connectivity
SMT-005,the,DT,Other,Connectivity
SMT-005,router,NN,Noun,Connectivity
SMT-005,but,CC,Other,Connectivity
SMT-005,fails,VBZ,Verb,Connectivity
SMT-005,in,IN,Other,Connectivity
SMT-005,the,DT,Other,Connectivity
SMT-005,bedroom,NN,Noun,Connectivity
SMT-005,in,IN,Other,Connectivity
SMT-005,Brampton,NNP,Noun,Connectivity
SMT-005,HomeIQ,NNP,Noun,Connectivity
SMT-002,The,DT,Other,Security_Alert
SMT-002,app,NN,Noun,Security_Alert
SMT-002,did,VBD,Verb,Security_Alert
SMT-002,not,RB,Adverb,Security_Alert
SMT-002,notify,VB,Verb,Security_Alert
SMT-002,me,PRP,Other,Security_Alert
SMT-002,when,WRB,Other,Security_Alert
SMT-002,the,DT,Other,Security_Alert
SMT-002,back,RB,Adverb,Security_Alert
SMT-002,door,NN,Noun,Security_Alert
SMT-002,opened,VBD,Verb,Security_Alert
SMT-003,My,PRP$,Other,Warranty_Return
SMT-003,smart,JJ,Adjective,Warranty_Return
SMT-003,light,NN,Noun,Warranty_Return
SMT-003,stopped,VBD,Verb,Warranty_Return
SMT-003,working,VBG,Verb,Warranty_Return
SMT-003,after,IN,Other,Warranty_Return
SMT-003,two,CD,Other,Warranty_Return
SMT-003,weeks,NNS,Noun,Warranty_Return
SMT-003,and,CC,Other,Warranty_Return
SMT-003,I,PRP,Other,Warranty_Return
SMT-003,need,VBP,Verb,Warranty_Return
SMT-003,a,DT,Other,Warranty_Return
SMT-003,warranty,NN,Noun,Warranty_Return
SMT-003,replacement,NN,Noun,Warranty_Return
